,DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,energy_vectors_used,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max
42,13,1960,2640,0.0,1359.294,3828.19,1359.29,0.0,8318.21,0.0,3607.56,220.64,1.2375,2.5301,0.1204,308241.53,0.4602,108.3,0,,217.8,1996.0,393.7134,353230.73,353230.73,11356.4324,0,0.9817,0.0,0.0,27.0531,3.5639,424.3303,0.0,6.119525634706354,0.66,14049.165011012645,45.309666666666665,100.45193528,True,9.706634720691111
43,7,1940,2666,,384.39,1062.14,384.39,0.0,2225.32,0.0,1001.27,60.87,0.7748,3.6764,0.0638,222696.2,0.4773,31.8,0,"
						",44.9,2013.0,301.2732,68518.24,68508.83,0.0,0,0.7849,0.0,0.0,41.6176,0.0,347.146,4.2552,5.789224485548532,0.592,3815.8161230690484,12.812999999999999,19.99132928,True,10.26044164434778
45,13,1934,3182,0.0,646.5599,1848.66,646.56,0.0,3413.05,0.0,1686.94,209.72,1.1553,4.6224,0.2052,305034.2,0.5416,50.21,1,"
						",104.08,2008.0,421.7326,191078.5,191078.5,0.0,0,0.32,0.0,0.0,0.0,0.0,421.7326,0.0,5.27878309824301,0.701,5964.943636116435,21.552,58.3666302,True,11.252593428165422
51,13,1990,2714,0.0,2690.619,6915.22,2690.62,0.0,11325.59,0.0,6434.51,663.46,0.7112,1.8128,0.527,1141009.0,0.6106,198.77,19,"
						",581.0,2014.0,132.8543,275187.81,270469.19,0.0,0,0.3148,0.0,0.0,5.1223,0.0,143.5737,5.5971,4.2092863354914485,0.757,20932.662432649886,89.68733333333333,115.57887600000002,True,14.111655816606465
54,4,1990,2750,,770.28,2191.42,770.28,0.0,4116.91,0.0,2015.44,175.98,0.9284,3.1381,0.1141,443046.6,0.5323,88.61,1,"
						",216.2,2008.0,218.8647,106782.0,106745.03,0.0,0,0.48,0.0,0.0,48.4197,7.351,282.9762,8.3409,5.3446928389676485,0.633,7171.201830454887,25.676,48.467546680000005,True,11.113828575314983
56,5,1954,2477,0.0,597.71,1197.17,597.71,427.03,2136.78,1525.95,1123.65,70.99,1.1386,1.4607,0.189,276588.56,0.5603,0.03,1,,105.0,2020.0,134.45,63005.62,61686.43,1943.9893,0,1.26704945066482,0.0,9.62,64.83,4.75,265.63,51.99,3.574944371016045,0.768,4152.486461020026,19.92366666666667,27.661659660000005,True,16.61564316401314
57,5,2008,3096,,305.79,1002.88,305.79,0.0,1173.54,0.0,950.48,52.4,0.3138,1.4243,0.0325,165476.0,0.8546,20.75,1,"
						",112.8,2016.0,123.8585,26595.77,26403.23,0.0,0,1.2165,0.0,0.0,49.7127,12.255,219.3527,33.5265,3.8377317767095063,0.697,2237.592962771989,10.193000000000001,7.45787888,True,15.477892530292962
60,13,1950,2737,0.0,1326.37,2279.23,1326.37,0.0,6482.23,0.0,2014.52,461.93,1.2163,3.3432,0.325,752228.3,0.3516,157.38,19,"
						",400.0,2014.0,295.3292,263199.01,263182.22,0.0,0,1.4056,0.0,0.0,44.1227,0.0,339.8268,0.3748,4.887195880485837,0.672,11526.295618649207,44.212333333333326,79.89170104,True,12.154208968210014
61,13,1964,2617,,7100.291,7799.61,7100.29,0.0,25246.22,0.0,7169.36,630.25,1.4434,4.3343,0.723,2241545.0,0.3089,317.14,19,"
						",400.0,1997.0,181.3332,1070104.73,1070086.11,0.0,0,2.0304,0.0,0.0,50.3234,0.0,232.1123,0.4557,3.5556604026032743,0.831,49028.73481066518,236.67633333333333,261.59893598,True,16.705757376747883
62,4,1979,2617,0.0,52.96,151.84,52.96,0.0,216.4,0.0,137.55,17.25,1.1557,2.5687,0.6939,25054.15,0.7017,4.52,5,"
						",483.54,2023.0,288.1159,9942.63,9940.16,0.0,0,0.48,0.0,0.0,52.726,9.9442,358.8758,8.0896,4.086102719033232,0.651,415.33303683927016,1.7653333333333334,4.0655322,True,14.537079482439927
65,4,1920,2771,0.0,225.79,593.84,225.79,225.79,1257.43,1257.43,540.94,62.49,1.4298,2.1847,0.0697,121635.6,0.4723,24.11,1,"
						",34.6,2016.0,341.2106,58912.7,58902.26,0.0,0,0.4325,0.0,20.1681,26.8801,0.0,396.2918,8.033,5.569024314628638,0.765,2181.6169179051262,7.526333333333333,18.1991583,True,10.666141256372125
66,4,1900,2570,0.0,122.59,316.3,122.59,0.0,607.76,0.0,234.68,26.77,1.2347,4.8242,0.19,63366.27,0.5204,0.05,1,"
						",274.0,2019.0,238.693,20798.78,20798.78,229.85,0,0.5,0.0,0.0,49.8939,0.0,288.58,0.0,4.957663757239579,0.711,1090.3561695662925,4.086333333333333,8.3780646,True,11.98144991443991
67,13,1973,2617,,4749.85,9119.12,4749.85,0.0,20863.88,0.0,8149.27,969.85,1.1178,4.5489,0.2707,1889290.0,0.4371,442.92,19,"
						",600.0,2006.0,251.7367,950607.29,950578.24,0.0,0,0.64,0.0,0.0,43.0796,0.5631,296.4422,1.0628,4.392534501089508,0.795,38104.61566551878,158.32833333333335,270.42009342,True,13.522944437947304
69,11,1970,2617,0.0,224.83,1645.85,1035.54,525.86,3820.49,1900.63,3138.28,57.81,1.4297,5.0189,1.283,145315.29,0.4308,0.01,1,,160.0,2000.0,298.8107,195891.59,195795.0,18175.56,0,2.72,0.0,25.5109,0.5254,0.0,360.79,35.9381,3.68936979740039,0.633,7344.711055128635,34.518,95.53883050000003,True,16.100310693130986
70,8,1985,3227,0.0,193.35,578.58,193.35,0.0,797.57,0.0,460.44,14.81,2.9856,2.7,0.1254,27971.95,0.7254,7.39,0,,110.0,1985.0,985.0972,124133.87,122353.1,4532.1859,0,7.1031,0.0,0.0,84.544,0.0,1693.1962,623.555,4.125006464959918,0.642,1493.9772674568953,6.444999999999999,28.293533280000002,True,14.399977431448022
