DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max,cluster
8,1970,3396,0.0,164.15,579.5,164.15,0.0,650.7,0.0,456.07,34.71,1.3732,4.1645,0.8877,40927.14,0.8906,0.06,0,31.1,2006.0,688.5813,71669.34,70574.64,3903.07,0,2.65,0.0,0.0,44.1243,0.0,996.39,263.6899,3.964057264696924,0.624,1234.5142648173469,5.471666666666667,15.41650238,True,14.984647302904566,1
4,1900,3224,0.0,145.38,623.28,224.66,0.0,930.86,0.0,391.82,46.72,1.1469,2.2575,0.02,107029.61,0.6696,0.04,1,49.19,2021.0,189.1268,35139.31,35139.31,309.93,0,0.5,0.0,0.0,33.9435,0.0,253.21,30.1441,4.143416718596991,0.827,1739.4694749619923,7.488666666666666,11.09697516,True,14.33599467159401,1
13,2005,4100,,5870.33,15850.11,5870.33,0.0,26118.44,0.0,14744.72,1105.39,0.2433,2.9359,0.0823,2790665.0,0.6069,387.41,1,756.9,2022.0,179.4819,905350.64,877579.64,2948.3655,2,0.64,7.4481,0.0,42.7144,0.647,230.8952,0.6037,4.449228578291169,0.833,47534.22946868061,195.67766666666665,136.65409753999998,True,13.350628980903911,1
4,1970,2978,1.0,330.04,555.74,330.04,0.0,1367.34,0.0,497.19,58.54,0.2677,3.3538,0.0266,53367.34,0.4064,17.15,2,175.0,2006.0,166.6678,39378.22,39351.09,495.06,0,0.5,0.0,0.0,98.3743,0.0,274.2113,9.1692,4.142952369409768,0.715,2549.3562989686943,11.001333333333331,6.588584300000001,True,14.337601474395546,1
13,1934,3182,0.0,646.5599,1848.66,646.56,0.0,3413.05,0.0,1686.94,209.72,1.1553,4.6224,0.2052,305034.2,0.5416,50.21,1,104.08,2008.0,421.7326,191078.5,191078.5,0.0,0,0.32,0.0,0.0,0.0,0.0,421.7326,0.0,5.27878309824301,0.701,5964.943636116435,21.552,58.3666302,True,11.252593428165422,1
5,2008,3096,,305.79,1002.88,305.79,0.0,1173.54,0.0,950.48,52.4,0.3138,1.4243,0.0325,165476.0,0.8546,20.75,1,112.8,2016.0,123.8585,26595.77,26403.23,0.0,0,1.2165,0.0,0.0,49.7127,12.255,219.3527,33.5265,3.8377317767095063,0.697,2237.592962771989,10.193,7.45787888,True,15.477892530292962,1
8,1985,3227,0.0,193.35,578.58,193.35,0.0,797.57,0.0,460.44,14.81,2.9856,2.7,0.1254,27971.95,0.7254,7.39,0,110.0,1985.0,985.0972,124133.87,122353.1,4532.1859,0,7.1031,0.0,0.0,84.544,0.0,1693.1962,623.555,4.125006464959918,0.642,1493.977267456895,6.444999999999999,28.29353328,True,14.399977431448022,1
4,1900,3091,0.0,183.86,547.56,183.86,183.86,787.8,787.8,524.3,23.26,0.9102,2.0762,0.1379,90346.63,0.695,8.06,1,34.1,2021.0,156.3141,22047.41,22038.21,0.0,0,0.5031,0.0,0.0,212.6339,0.0,371.5951,2.6471,4.284781899271184,0.767,1460.905043372232,6.128666666666667,10.51020544,True,13.863015993907084,1
13,1950,3449,0.0,333.77,2429.56,878.72,0.0,4566.04,0.0,2171.99,257.57,1.3445,2.0868,0.1864,351025.17,0.5321,0.05,0,201.0,2012.0,453.25,230561.14,230532.64,2055.1827,0,4.0,0.0,0.0,50.26,2.37,508.76,2.87,5.196239985433357,0.579,8004.129495150099,29.290666666666667,69.15475262,True,11.43134269520197,1
5,1992,2928,123.0,1986.0,2821.2,1986.0,0.0,6852.0,0.0,2466.06,355.14,1.0853,2.8202,0.3256,333053.1,0.4117,0.03,1,414.0,2017.0,152.18,258476.68,258476.68,1.828,0,1.10453376,0.0,0.0,0.0,0.0,179.64,27.46,3.4501510574018126,0.855,13441.6527787536,66.2,73.55961491999999,True,17.216637478108584,1
