DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max,cluster
13,1975,2928,,5965.22,6844.72,5965.22,0.0,26787.29,0.0,5709.09,1135.63,1.2374,4.0765,0.2727,2001087.0,0.2555,360.24,1,993.78,2022.0,239.522,1131894.99,1131419.29,0.0,0,0.64,0.0,0.0,41.1777,0.0,281.1115,0.4118,4.490578721321259,0.792,48631.38072841203,198.84066666666664,233.87647322000004,True,13.227693730870126,2
13,1960,2765,,5264.121,11031.42,5264.12,0.0,29262.06,0.0,10118.99,912.43,0.9673,3.6308,0.3654,2037006.0,0.377,382.85,1,768.82,2017.0,292.0456,994719.45,994718.96,0.0,0,1.169,0.0,0.0,38.898,0.842,331.8017,0.0161,5.558775255883225,0.647,50417.94609320952,175.47066666666666,262.01899742,True,10.685807082618243,2
13,1966,2617,0.0,3520.54,6174.63,3520.54,0.0,15184.55,0.0,5461.58,1533.5,1.8376,3.8231,1.1344,1018811.0,0.4066,294.81,0,530.55,2007.0,403.1482,959444.83,959017.75,0.0,0,1.049,0.0,0.0,25.154,1.3431,431.5106,1.8652,4.313130940139865,0.676,27873.197222277784,117.35133333333332,317.97846516,True,13.77189814647125,2
13,1975,2765,,6852.97,11961.54,6852.97,0.0,36854.04,0.0,10709.15,1252.39,1.0545,2.7597,0.2271,2052328.0,0.3246,616.24,1,906.18,2010.0,183.562,953899.13,953553.49,0.0,0,0.64,0.0,0.0,35.0055,1.0602,219.9966,0.3689,5.377820127623497,0.758,63976.39322782473,228.43233333333333,294.98038716,True,11.045367563501856,2
13,1954,2617,0.0,4686.447,11050.52,4686.45,0.0,23568.7,0.0,9945.62,1547.95,1.272,5.8924,0.3601,2247080.0,0.4689,254.56,1,1060.88,2016.0,360.7488,1274292.57,1274176.18,0.0,0,1.4481,0.0,0.0,41.8326,0.933,407.8298,4.3154,5.029115855284918,0.754,41575.831146015465,156.215,435.4393844000001,True,11.811221238337286,2
13,1990,2855,,4930.2,9380.42,4930.2,0.0,23399.0,0.0,8348.1,1032.32,1.0238,3.4468,0.3458,2165029.0,0.4009,444.0,1,854.52,2009.0,252.1498,834005.05,832710.37,0.0,0,1.091,0.0,0.0,50.2079,0.0,303.8335,1.4758,4.746054926777819,0.67,41875.89552912142,164.34,242.09970712,True,12.515657934099748,2
13,1964,2617,0.0,5322.04,6628.3,5322.04,0.0,23327.84,0.0,5150.99,1461.14,1.6304,5.6855,0.4589,2237317.27,0.2841,0.04,1,667.68,2023.0,355.08,1483747.87,1483721.35,28645.1718,0,1.5666964297814,0.0,0.0,255.57,0.82,612.06,0.6,4.383251535125629,0.785,42627.3950259232,177.40133333333333,334.1097113200001,True,13.551583687130911,2
13,1983,2617,0.0,7846.709,11887.51,7846.71,0.0,33742.43,0.0,11189.45,698.06,0.776,2.7851,0.4064,2832623.0,0.3523,132.6,0,1510.81,1998.0,196.1902,1029553.52,906892.38,66043.8594,2,0.64,4.4793,0.0,42.7188,0.0,244.1306,0.7423,4.30020097595043,0.589,61973.59866494336,261.557,212.54360212000003,True,13.813307873795694,2
13,1980,2617,0.0,8489.17,15731.14,8489.17,1782.98,45615.73,8531.37,14928.6,835.54,0.6547,3.1616,0.3351,2643094.0,0.3449,205.98,0,2266.8,1982.0,229.9446,1318443.98,1318443.98,0.0,0,1.3705,0.0,0.0,187.0055,0.3424,417.2924,0.0,5.373402817943333,0.675,79197.39144876393,282.9723333333333,248.30795367999997,True,11.05444762146742,2
4,2020,2617,0.0,14382.23,19681.65,14517.56,3647.77,56752.65,13555.63,16488.61,4155.62,1.0508,0.9447,0.244,7515302.0,0.3468,587.62,1,1362.72,2019.0,71.4347,809445.46,808733.74,0.0,0,0.3616,0.0,1.9572,28.5916,1.7094,107.3612,3.6683,3.9092416356467616,0.78,107080.37144583715,483.91866666666664,425.04091204,True,15.194762958205477,2
