DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,energy_vectors_used,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max,cluster
4,1900,2863,0.0,385.0,1001.67,385.0,385.0,2144.33,2144.33,978.95,22.72,1.1003,1.7,0.0086,109050.25,0.4671,11.14,5,,45.59,2012.0,276.1415,81705.35,81671.27,1929.192,0,0.6674,0.0,0.0,35.4042,0.0,314.9478,3.4021,5.569688311688312,0.768,3708.490150206383,12.833333333333334,22.3152537,True,10.664869679573574,1
6,1900,2463,0.0,868.0,2496.49,868.0,868.0,7896.0,7896.0,2444.64,51.85,0.7833,1.3,0.205,107002.96,0.3162,23.93,0,,760.0,2011.0,146.257,396221.01,94768.44,26271.4956,2,4.1134,51.6521,52.942,41.616,410.1067,702.5739,0.0,9.096774193548388,0.746,12432.59264816204,28.933333333333337,39.645830239999995,True,6.529787234042554,1
5,1992,2928,123.0,1986.0,2821.2,1986.0,0.0,6852.0,0.0,2466.06,355.14,1.0853,2.8202,0.3256,333053.1,0.4117,0.03,1,,414.0,2017.0,152.18,258476.68,258476.68,1.828,0,1.10453376,0.0,0.0,0.0,0.0,179.64,27.46,3.4501510574018126,0.855,13441.6527787536,66.2,73.55961491999999,True,17.216637478108584,1
13,1920,2463,1.0,136.56,533.15,136.56,0.0,655.37,0.0,509.37,20.0,1.8801,4.0912,0.1496,84834.14,0.8135,0.03,0,,29.7,2008.0,755.33,63679.81,63679.81,0.0,0,0.811427463529411,0.0,0.0,0.0,0.0,755.33,0.0,4.799135910954892,0.617,1183.57477207395,4.5520000000000005,20.78981074,True,12.377228130674276,1
13,1970,2637,0.0,752.57,1844.58,752.57,0.0,3025.08,0.0,1688.29,156.29,0.7128,1.9906,0.2754,369722.61,0.6098,0.03,19,,200.0,2012.0,146.55,107180.63,107143.28,2100.9231,0,1.07365757252521,0.0,0.0,104.49,0.0,256.4,5.36,4.019665944696174,0.971,5673.150393182927,25.08566666666667,30.29047972,True,14.777347375937168,1
11,1900,2939,1.0,126.84,310.5,126.84,0.0,610.43,0.0,521.37,6.54,0.7615,3.0748,0.1776,30367.74,0.5087,0.03,0,,24.0,2002.0,176.5294,17865.53,17822.39,2796.33,0,1.09,0.0,0.0,28.4738,0.0,222.42,17.4213,4.812598549353516,0.796,1102.6728344077503,4.228,8.34264894,True,12.342604393624168,1
13,2010,2762,0.0,723.34,1671.11,723.34,0.0,2724.9,0.0,1554.87,116.25,1.4716,1.8,0.5426,370926.36,0.6133,0.05,1,,104.7,2011.0,301.75,165756.18,165756.18,2015.5629,0,1.3462124607938,0.0,0.0,0.0,0.0,302.42,0.67,3.7671081372521913,0.759,5208.93434766757,24.111333333333334,49.94793384,True,15.768063415171198,1
4,1900,2699,1.0,51.36,154.98,51.36,0.0,212.65,0.0,207.54,10.67,2.4681,5.9914,0.0001,26067.28,0.7288,0.02,0,,22.0,2016.0,614.25,21637.02,21637.02,0.0206,0,0.498358959036547,0.0,0.0,0.0,0.0,614.25,0.0,4.140381619937695,0.686,407.0354084257046,1.712,11.52315424,True,14.346503644486242,1
4,1950,2617,0.0,1111.87,1408.0,1111.87,1111.87,4700.44,4700.44,1694.38,186.25,1.5986,3.7619,0.1575,257659.74,0.2995,0.02,0,,291.0,1950.0,172.68,117969.26,117969.26,1603.3519,0,0.457700589806886,0.0,7.66,69.65,0.0,249.99,0.0,4.227508611618265,0.614,8684.677952191443,37.06233333333333,68.18579486000002,True,14.050828858574942,1
8,1970,3424,0.0,123.0,571.57,123.0,0.0,443.45,0.0,468.43,24.42,2.1274,3.3067,1.0491,25638.3,1.2889,0.07,1,,24.0,2018.0,223.3796,69490.28,69477.51,563.85,0,0.97,0.0,0.0,0.0,0.0,229.12,5.7378,3.605284552845528,2.529,868.1057761391567,4.1,21.54575192,True,16.475814635246365,1
4,1900,2613,0.0,357.7,943.8,357.7,0.0,2352.0,0.0,908.98,24.42,1.0863,3.597,0.0677,234197.7,0.4013,0.01,1,,74.0,2014.0,199.16,50122.58,50122.58,510.8251,0,0.31045269709984,0.0,0.0,26.36,0.0,228.4,2.88,6.575342465753425,0.704,3929.3562599554,11.923333333333334,21.50527428,True,9.03375,1
4,1970,2737,1.0,155.31,657.77,155.31,0.0,739.94,0.0,630.87,26.9,1.7632,1.5315,1.1598,35514.36,0.889,6.49,1,,34.9,2017.0,536.1409,65341.55,65334.1,369.0166,0,0.667806580042709,0.0,0.0,105.27,0.0,649.7518,8.3409,4.764277895821261,0.785,1336.7825236099443,5.1770000000000005,23.07094668,True,12.46778657729005,1
13,1960,2426,2.0,1275.404,2874.22,1275.4,0.0,6891.12,0.0,2260.49,222.5,1.0388,1.2,0.5046,237685.31,0.4171,32.09,1,,141.0,2022.0,170.9493,199319.29,199298.95,10173.0836,0,0.8858,0.0,0.0,317.5223,0.0,491.6348,3.1631,5.403104908264074,0.914,11962.792570538746,42.513333333333335,52.30394024,True,10.993678821439769,1
13,1985,2463,1.0,568.48,1494.4,568.48,0.0,2202.53,0.0,1665.35,103.43,1.6962,2.5921,0.4592,225091.83,0.6785,0.04,0,,198.0,2010.0,451.0,179622.24,179622.24,0.0001,0,1.00321940945455,0.0,0.0,0.0,0.0,481.8,30.8,3.874419504643963,0.701,4177.833180994552,18.949333333333335,61.85735145999999,True,15.331328971682565,1
13,1980,2617,0.0,535.4,1564.38,535.4,0.0,1966.13,0.0,1466.32,98.06,1.0289,3.2604,0.1166,227434.5,0.7957,0.01,0,,210.0,2007.0,283.89,107903.51,107857.59,0.0001,0,0.930069623282584,0.0,0.0,32.16,0.0,321.84,5.79,3.672263728053792,0.71,3790.481597385712,17.846666666666668,36.56822944,True,16.17530885546734,1
8,1870,3086,0.0,338.75,1406.43,338.75,0.0,1948.68,0.0,1362.44,40.45,1.1351,2.6587,0.1018,241072.59,0.7217,0.02,1,,460.0,2008.0,1014.86,226954.92,225450.95,6342.9337,1,5.3498647770223,15.84,0.0,50.77,0.0,1256.35,174.88,5.752560885608856,0.656,3348.143031494036,11.291666666666666,33.08100118000001,True,10.325835950489562,1
4,1900,2639,0.0,1703.131,3243.49,1703.13,1703.13,6978.21,6978.21,2985.39,210.58,1.5355,3.3136,0.2771,640378.49,0.4648,132.34,19,,312.4,2000.0,169.0412,229761.14,229642.05,1940.2099,0,0.35,0.0,16.7168,54.2255,1.3219,249.7087,8.4033,4.097285585950573,0.798,13000.085577688084,56.771,105.63688466,True,14.497402915647424,1
5,1990,2864,1.0,2840.0,5521.7,2840.0,0.0,10652.4,0.0,5022.98,498.72,0.9612,3.7977,0.1402,678237.3,0.5184,0.02,1,,589.0,2017.0,177.67,445121.53,445121.53,2.7095,0,1.5570368,0.0,0.0,0.0,0.0,196.78,19.11,3.750845070422535,0.882,20356.778116606612,94.66666666666669,134.4415464,True,15.8364312267658,1
