DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,energy_vectors_used,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max,cluster
13,1975,2617,4.0,5538.1001,13714.04,7704.68,0.0,33356.04,0.0,10874.6,2839.44,1.5217,5.4893,0.5625,1469420.83,0.4111,0.07,1,,1473.0,2016.0,304.08,11532570.4,11532570.4,5.529,0,0.898336310455624,0.0,0.0,47.57,0.0,353.81,2.16,4.329321918626082,4.922,61151.318198314024,256.8226666666667,642.6883362400001,True,13.720393427996848,0
13,1975,2617,1.0,5118.6499,8027.18,5853.89,0.0,33503.62,0.0,6914.81,1112.38,1.3715,5.736,0.4866,934308.77,0.2396,0.05,1,,982.0,2016.0,261.01,4990839.94,4990839.94,6.6148,0,0.791535554768487,0.0,0.0,43.96,1.34,307.03,0.73,5.723308774165555,3.266,57349.40209686514,195.12966666666668,317.2854719,True,10.378611803739416,0
13,1915,2617,1.0,7131.1,15689.05,7923.0,0.0,47094.9,0.0,13997.57,1691.48,1.3615,3.1854,0.067,1869951.95,0.3331,0.07,1,,1964.0,2016.0,293.04,4946553.08,4946553.08,9.0428,0,0.833245298569615,0.0,0.0,68.35,0.98,363.57,1.21,5.94407421431276,2.131,79946.82292031735,264.1,488.9146389399999,True,9.993145754635853,0
5,1986,2542,0.0,2840.7,4423.67,3506.6,2581.4,14365.3,10663.5,3918.23,492.44,1.9546,4.6844,0.4098,532065.96,0.3079,0.01,18,,375.84,2013.0,285.68,5171713.51,5153547.76,6.0647,0,4.00000000000001,0.0,1.62,232.55,1.39,571.2,49.95,4.0966463240746025,5.144,26750.065132770673,116.88666666666668,199.30716588,True,14.499665165363758,0
